stock_code,pre_close
300189,594
920023,455
688668,9910
300391,139
301611,6356
300506,316
688627,20806
300086,1102
300321,4418
300344,107
301235,3540
688679,2268
688125,8119
301338,7256
688720,5984
920932,2116
300236,5730
301486,10099
300548,13930
300205,373
301023,3688
301377,11320
301369,12439
688072,32766
300774,1759
600759,266
002523,395
002596,535
600179,406
002228,447
600515,477
000753,776
002969,607
603300,707
000955,607
601212,518
002414,1315
002361,817
002910,1365
002666,548
000070,1176
000886,668
603928,1515
002320,1147
001217,1346
600487,2376
000571,559
601231,2635
603069,2386
002284,1368
605358,3336
000551,1139
603868,3317
002788,1529
603380,3557
003021,10199
603696,2020
603959,570
603163,5868
605167,1150
601869,11550
002678,490
002169,870
002175,430
603929,8951
002151,3312
601888,8281
002046,3963
600580,3983
603977,1421
001336,2632
002518,4534
603344,2933
002792,3214
000572,851
600376,501
002810,1322
603458,791
002800,1402
001331,2614
600693,1704
002163,1454
002769,1073
601969,1043
002951,1334
000735,953
603618,783
000796,643
000567,623
603535,1054
000505,744
601118,553
601208,2202
601068,503
000566,724
000981,332
000407,463
688037,13190
601106,383
000523,373
300817,1896
600221,173
688519,5977
300567,7691
688613,2018
920092,4350
688501,2358
300395,8918
603067,2749
300648,5060
300276,860
603228,6694
920304,1331
688486,6855
300739,1666
301118,2349
000657,2730
301587,2182
600183,6043
300134,1128
300604,8725
300984,6304
002842,1265
002812,4519
603209,1534
688455,1788
002384,7562
688585,9810
688147,6260
920580,1528
300903,1748
920885,2655
600118,5872
301086,9824
002853,2250
300358,920
300552,3020
300308,57170
688233,6129
301088,1528
600684,458
688676,8318
600960,538
600226,481
002080,3304
688392,11406
300316,3468
605318,6630
301295,2642
301276,2596
300672,9525
605598,4717
300139,2897
600522,1837
300938,3252
688051,3725
002851,8046
002428,2711
688733,2859
300201,553
300852,3524
301200,11116
002716,625
000819,1583
688652,10050
688403,1656
688629,7746
688531,6204
600751,377
300842,6002
600201,1497
603169,1000
003040,1833
300969,10505
688090,3737
301123,5668
300469,6364
000859,899
003031,7338
600459,1875
300502,43430
600105,2021
300006,485
600889,1480
600686,1609
603203,3050
002493,982
688157,3600
688727,4540
920100,6359
600490,758
301099,4158
000988,7500
601588,175
300749,1129
688630,12563
300718,7835
002916,21275
688691,10078
688082,16700
301002,3225
301095,6654
605376,6166
300658,1170
002339,904
300843,4930
301548,5278
920599,2006
601133,1531
000703,829
688372,9706
001212,4433
300054,3643
688376,5048
002536,2868
301026,2713
600367,1713
688981,11363
000510,1058
301196,7089
002364,2328
603083,11103
000959,458
002636,1496
002067,515
300684,4629
600259,5290
600859,1552
601069,2647
002394,1377
300663,1669
002463,6752
920415,1438
688200,17100
002420,798
300029,565
688143,4659
002703,1751
601698,2455
301256,1407
002896,7960
301246,1686
688603,7435
603606,5922
002783,913
603128,599
002955,2842
301202,3867
600865,1801
002922,3100
688160,9482
688041,20408
300806,2805
600641,1635
301321,1825
605580,3298
002378,1403
301282,2738
600331,1159
000823,1303
300978,1415
920363,2025
000417,833
002409,6995
688362,3059
002203,1178
300913,5251
300346,4342
000920,1201
301596,7032
301389,5034
600391,3136
603286,5711
001376,1506
603028,757
688709,3944
301217,3059
600355,195
002306,175
600724,547
300468,3288
002168,351
300584,4940
688020,6618
688515,10098
002693,691
001301,7871
002529,672
600798,357
688800,7542
000603,3028
600107,676
600238,656
000638,478
600608,339
002569,980
600165,399
002289,2562
603268,7343
301128,8370
002789,823
603226,2990
603828,803
000752,1044
002713,1045
300990,7383
002199,786
002309,343
600599,908
605199,888
300152,222
002868,3438
603803,1155
601872,851
