stock_code,pre_close
300748,3440
688765,7026
001234,2696
920725,3468
002026,1512
002036,1060
300758,1268
920735,3388
300620,15450
301252,3329
000656,144
688775,23875
603385,679
600976,3398
688048,12948
300065,1814
688130,2100
600197,1400
300884,1468
002673,796
920008,2994
603395,2956
600966,691
300075,1528
002663,191
920160,2613
688058,2688
920018,2715
600187,251
920981,3207
688120,15285
301609,4124
300894,1127
300303,687
600389,2570
688256,141580
600399,586
002515,601
688246,2232
300313,820
002238,811
300556,1871
002340,819
000520,489
688403,1638
300546,2560
002228,513
000530,752
601827,827
002350,813
600330,1277
600248,353
603122,2600
688387,1193
600320,503
002281,7045
600258,1608
001872,1940
603132,1455
601117,753
000599,648
002291,628
300497,1552
603777,1351
600575,337
603767,2498
920592,3926
300487,6181
601107,610
000589,523
301383,3526
603569,752
600603,645
300689,4505
002906,3094
601319,903
000797,407
600613,605
300699,3930
301393,5100
603579,2344
000933,2718
002916,23375
600056,1030
300945,1625
688189,792
688199,2381
920832,728
000923,2100
688800,8641
000829,1055
688093,3674
300927,2328
000951,1658
603226,3157
688083,6667
300937,3565
000839,261
603236,9411
601456,1024
600661,1005
002185,1105
600719,654
301299,5341
300793,1606
002195,695
600671,1742
301289,5756
300783,2294
001387,1387
301087,4408
600507,595
605259,2220
600517,605
301097,5170
600352,1077
601658,546
603038,1627
603028,890
603150,3843
605398,2808
300534,953
002322,1191
605388,741
688509,504
688519,8257
301156,1750
002332,901
000552,233
920274,2955
603918,1567
603081,1407
601799,12411
600293,318
688234,9291
603860,3013
002577,1767
300219,714
603908,2319
603091,7909
300371,1244
300209,546
002567,445
600283,905
300007,5402
601789,501
002769,1183
920112,3798
000890,516
002611,1914
688152,4029
002779,11795
000880,2742
000061,1056
300017,1026
002601,1965
300652,5669
001256,2202
301358,6661
301220,3738
002044,517
688707,1417
605186,1966
300642,1842
301348,2031
688717,6243
605196,3519
002054,738
301230,2949
603556,3545
601336,7008
002841,3882
605162,856
002939,1032
600744,592
601326,348
002851,8926
002929,3968
603303,1293
600754,2435
600888,822
301491,5515
600111,4597
300802,1904
600079,1829
603313,904
300812,2880
600101,923
603065,835
300385,621
002593,603
603075,2185
601615,1435
300395,10430
002583,1131
600267,988
603630,1933
688485,1773
600422,1250
601128,705
603758,1808
601138,6423
301636,4914
002452,822
688311,4380
003020,2657
688269,4028
300244,1542
920351,2212
605580,2316
688301,10231
603955,2909
301626,18799
920239,3284
688279,19370
002442,623
003030,2012
300254,1039
301063,2417
002207,769
300569,575
603689,813
920504,2355
301073,2585
601808,1403
300411,1129
300579,3499
601818,349
603699,5246
002217,304
688622,9906
300401,1530
600685,2834
000701,667
301305,2250
002161,727
001373,3212
002980,2074
920662,3023
000679,722
300777,3879
002019,1177
002171,1338
000711,174
301315,5658
002009,2343
300767,2120
002990,2794
000669,294
688077,3070
002734,1601
301550,13539
600831,419
300122,1898
301428,3300
920037,8607
002724,673
600959,343
300132,869
688067,2420
920027,2142
600821,514
300140,667
688015,2278
002756,5427
600853,422
688005,3480
002746,610
301522,3876
300150,530
600843,1201
002103,911
001269,2390
301367,8440
300715,1035
001311,3208
001279,3419
301377,14440
920768,1189
688728,1501
001301,8640
600581,335
688526,1536
300705,1514
001896,521
301001,2857
301179,1583
002265,2676
920566,1128
300473,3002
002275,1413
000415,409
301011,2549
688536,16170
301169,4992
920576,6700
300463,1121
603927,1891
002430,3001
688373,598
003042,1604
002548,553
300226,2481
002420,796
688363,4369
300236,6210
603937,1189
002558,4392
000338,1736
600528,826
605266,1924
600538,611
603007,585
601022,916
600215,716
601677,1486
002489,387
300918,1906
603017,1130
300081,514
000816,388
600992,1340
300860,2655
600173,723
603219,1635
002697,593
300091,299
920184,1756
600982,435
603209,1522
300908,2770
300870,21896
002687,486
600163,554
002823,1613
600726,240
605100,4205
605068,2667
002833,1662
000830,1668
000948,1784
600736,675
300846,2167
920953,3525
000820,337
603357,809
600155,663
920943,2604
600678,1341
002805,1815
300856,1344
000958,652
605136,1078
600668,1088
002815,1386
301280,5220
600710,1090
301290,2551
605338,2847
300594,1967
002382,551
300584,5077
920491,3113
002392,751
603021,455
600476,1570
600233,1634
600223,735
603159,2571
603031,4574
301027,1840
920438,4210
000423,4892
002243,996
688478,3740
688500,6048
300455,2887
688510,2642
300445,2520
301037,1439
002253,1102
002416,1245
688468,734
300378,4421
603098,1404
300200,1183
688355,1762
603901,1418
688345,3145
603879,687
301662,11936
603088,1044
300368,1491
603869,1077
002406,791
920305,1012
300210,903
688033,766
600094,410
300987,1644
920892,1582
000889,366
000068,338
600875,2440
300166,1004
603286,6715
002608,742
002760,2152
000899,1002
300997,2678
600084,521
000100,454
300176,664
688023,5109
603296,9255
600865,1728
002125,1442
000078,348
001337,2810
301239,3096
300733,1874
688676,9105
002135,451
300629,2271
301229,2121
000755,505
300723,3411
301323,5506
000727,256
300751,19210
000737,1508
002157,332
300639,538
002712,533
301333,5982
920169,3151
300741,1831
688051,3985
600817,1141
688041,22501
688129,2006
000993,1179
002702,738
920179,3707
688139,3189
301566,1944
000983,647
600807,316
920001,1925
688337,3747
600390,557
002474,953
301600,13229
003006,2194
603182,1596
600380,1156
300272,747
003016,996
603192,2872
920367,2016
688327,1403
601956,716
