stock_name,stock_code,board_name,board_code
中天服务,002188,房地产服务,BK1045
我爱我家,000560,房地产服务,BK1045
南都物业,603506,房地产服务,BK1045
市北高新,600604,房地产服务,BK1045
全新好,000007,房地产服务,BK1045
珠江股份,600684,房地产服务,BK1045
汇通能源,600605,房地产服务,BK1045
华远控股,600743,房地产服务,BK1045
新大正,002968,房地产服务,BK1045
世联行,002285,房地产服务,BK1045
北辰实业,601588,房地产服务,BK1045
*ST阳光,000608,房地产服务,BK1045
津投城开,600322,房地产服务,BK1045
锦和商管,603682,房地产服务,BK1045
电子城,600658,房地产服务,BK1045
云南城投,600239,房地产服务,BK1045
招商积余,001914,房地产服务,BK1045
特发服务,300917,房地产服务,BK1045
皇庭国际,000056,房地产服务,BK1045
群兴玩具,002575,房地产服务,BK1045
永辉超市,601933,商业百货,BK0482
东百集团,600693,商业百货,BK0482
合百集团,000417,商业百货,BK0482
友阿股份,002277,商业百货,BK0482
小商品城,600415,商业百货,BK0482
王府井,600859,商业百货,BK0482
广百股份,002187,商业百货,BK0482
银座股份,600858,商业百货,BK0482
杭州解百,600814,商业百货,BK0482
南京新百,600682,商业百货,BK0482
家家悦,603708,商业百货,BK0482
通程控股,000419,商业百货,BK0482
大连友谊,000679,商业百货,BK0482
华联股份,000882,商业百货,BK0482
美凯龙,601828,商业百货,BK0482
爱婴室,603214,商业百货,BK0482
孩子王,301078,商业百货,BK0482
三江购物,601116,商业百货,BK0482
中百集团,000759,商业百货,BK0482
大商股份,600694,商业百货,BK0482
博士眼镜,300622,商业百货,BK0482
ST易购,002024,商业百货,BK0482
丽尚国潮,600738,商业百货,BK0482
新华百货,600785,商业百货,BK0482
国芳集团,601086,商业百货,BK0482
海宁皮城,002344,商业百货,BK0482
爱施德,002416,商业百货,BK0482
富森美,002818,商业百货,BK0482
步步高,002251,商业百货,BK0482
深 赛 格,000058,商业百货,BK0482
友好集团,600778,商业百货,BK0482
百联Ｂ股,900923,商业百货,BK0482
深赛格B,200058,商业百货,BK0482
文峰股份,601010,商业百货,BK0482
汇嘉时代,603101,商业百货,BK0482
轻纺城,600790,商业百货,BK0482
欧亚集团,600697,商业百货,BK0482
百联股份,600827,商业百货,BK0482
重庆百货,600729,商业百货,BK0482
南宁百货,600712,商业百货,BK0482
宁波中百,600857,商业百货,BK0482
天虹股份,002419,商业百货,BK0482
中兴商业,000715,商业百货,BK0482
益民集团,600824,商业百货,BK0482
国光连锁,605188,商业百货,BK0482
武商集团,000501,商业百货,BK0482
苏豪时尚,600287,商业百货,BK0482
供销大集,000564,商业百货,BK0482
居然智家,000785,商业百货,BK0482
茂业商业,600828,商业百货,BK0482
徐家汇,002561,商业百货,BK0482
红旗连锁,002697,商业百货,BK0482
丽人丽妆,605136,商业百货,BK0482
珠免集团,600185,商业百货,BK0482
上海九百,600838,商业百货,BK0482
新世界,600628,商业百货,BK0482
中央商场,600280,商业百货,BK0482
利群股份,601366,商业百货,BK0482
百大集团,600865,商业百货,BK0482
欢乐家,300997,食品饮料,BK0438
红棉股份,000523,食品饮料,BK0438
西王食品,000639,食品饮料,BK0438
海欣食品,002702,食品饮料,BK0438
骑士乳业,920786,食品饮料,BK0438
贝因美,002570,食品饮料,BK0438
庄园牧场,002910,食品饮料,BK0438
千禾味业,603027,食品饮料,BK0438
伊利股份,600887,食品饮料,BK0438
阳光乳业,001318,食品饮料,BK0438
均瑶健康,605388,食品饮料,BK0438
桃李面包,603866,食品饮料,BK0438
金字火腿,002515,食品饮料,BK0438
盐津铺子,002847,食品饮料,BK0438
新诺威,300765,食品饮料,BK0438
安记食品,603696,食品饮料,BK0438
一致魔芋,920273,食品饮料,BK0438
海天味业,603288,食品饮料,BK0438
南侨食品,605339,食品饮料,BK0438
妙可蓝多,600882,食品饮料,BK0438
李子园,605337,食品饮料,BK0438
承德露露,000848,食品饮料,BK0438
金禾实业,002597,食品饮料,BK0438
立高食品,300973,食品饮料,BK0438
田野股份,920023,食品饮料,BK0438
盖世食品,920826,食品饮料,BK0438
中粮糖业,600737,食品饮料,BK0438
康比特,920429,食品饮料,BK0438
好想你,002582,食品饮料,BK0438
五芳斋,603237,食品饮料,BK0438
双汇发展,000895,食品饮料,BK0438
元祖股份,603886,食品饮料,BK0438
养元饮品,603156,食品饮料,BK0438
有友食品,603697,食品饮料,BK0438
朱老六,920726,食品饮料,BK0438
百合股份,603102,食品饮料,BK0438
中炬高新,600872,食品饮料,BK0438
龙大美食,002726,食品饮料,BK0438
安井食品,603345,食品饮料,BK0438
光明肉业,600073,食品饮料,BK0438
新乳业,002946,食品饮料,BK0438
金丹科技,300829,食品饮料,BK0438
*ST中基,000972,食品饮料,BK0438
劲仔食品,003000,食品饮料,BK0438
金达威,002626,食品饮料,BK0438
煌上煌,002695,食品饮料,BK0438
科拓生物,300858,食品饮料,BK0438
洽洽食品,002557,食品饮料,BK0438
西麦食品,002956,食品饮料,BK0438
三元生物,301206,食品饮料,BK0438
安琪酵母,600298,食品饮料,BK0438
得利斯,002330,食品饮料,BK0438
天味食品,603317,食品饮料,BK0438
麦趣尔,002719,食品饮料,BK0438
深粮B,200019,食品饮料,BK0438
华康股份,605077,食品饮料,BK0438
爱普股份,603020,食品饮料,BK0438
安德利,605198,食品饮料,BK0438
桂发祥,002820,食品饮料,BK0438
克明食品,002661,食品饮料,BK0438
*ST春天,600381,食品饮料,BK0438
交大昂立,600530,食品饮料,BK0438
海融科技,300915,食品饮料,BK0438
熊猫乳品,300898,食品饮料,BK0438
春雪食品,605567,食品饮料,BK0438
广农糖业,000911,食品饮料,BK0438
一鸣食品,605179,食品饮料,BK0438
青岛食品,001219,食品饮料,BK0438
品渥食品,300892,食品饮料,BK0438
西部牧业,300106,食品饮料,BK0438
光明乳业,600597,食品饮料,BK0438
华统股份,002840,食品饮料,BK0438
技源集团,603262,食品饮料,BK0438
ST加加,002650,食品饮料,BK0438
天新药业,603235,食品饮料,BK0438
道道全,002852,食品饮料,BK0438
国投中鲁,600962,食品饮料,BK0438
味知香,605089,食品饮料,BK0438
三只松鼠,300783,食品饮料,BK0438
泉阳泉,600189,食品饮料,BK0438
保龄宝,002286,食品饮料,BK0438
三元股份,600429,食品饮料,BK0438
广州酒家,603043,食品饮料,BK0438
祖名股份,003030,食品饮料,BK0438
三全食品,002216,食品饮料,BK0438
天润乳业,600419,食品饮料,BK0438
巴比食品,605338,食品饮料,BK0438
佳隆股份,002495,食品饮料,BK0438
佳禾食品,605300,食品饮料,BK0438
日辰股份,603755,食品饮料,BK0438
宝立食品,603170,食品饮料,BK0438
广弘控股,000529,食品饮料,BK0438
千味央厨,001215,食品饮料,BK0438
东鹏饮料,605499,食品饮料,BK0438
润普食品,920422,食品饮料,BK0438
仲景食品,300908,食品饮料,BK0438
嘉必优,688089,食品饮料,BK0438
香飘飘,603711,食品饮料,BK0438
汤臣倍健,300146,食品饮料,BK0438
恒顺醋业,600305,食品饮料,BK0438
甘源食品,002991,食品饮料,BK0438
燕塘乳业,002732,食品饮料,BK0438
惠发食品,603536,食品饮料,BK0438
黑芝麻,000716,食品饮料,BK0438
ST绝味,603517,食品饮料,BK0438
华宝股份,300741,食品饮料,BK0438
良品铺子,603719,食品饮料,BK0438
双塔食品,002481,食品饮料,BK0438
仙乐健康,300791,食品饮料,BK0438
紫燕食品,603057,食品饮料,BK0438
益客食品,301116,食品饮料,BK0438
金龙鱼,300999,食品饮料,BK0438
国联水产,300094,食品饮料,BK0438
百龙创园,605016,食品饮料,BK0438
涪陵榨菜,002507,食品饮料,BK0438
维维股份,600300,食品饮料,BK0438
莲花控股,600186,食品饮料,BK0438
皇氏集团,002329,食品饮料,BK0438
来伊份,603777,食品饮料,BK0438
合兴包装,002228,包装材料,BK0733
王子新材,002735,包装材料,BK0733
嘉美包装,002969,包装材料,BK0733
美盈森,002303,包装材料,BK0733
衢州东峰,601515,包装材料,BK0733
宝钢包装,601968,包装材料,BK0733
陕西金叶,000812,包装材料,BK0733
中锐股份,002374,包装材料,BK0733
英联股份,002846,包装材料,BK0733
佳合科技,920392,包装材料,BK0733
新巨丰,301296,包装材料,BK0733
盛通股份,002599,包装材料,BK0733
珠海中富,000659,包装材料,BK0733
方大新材,920163,包装材料,BK0733
永新股份,002014,包装材料,BK0733
中荣股份,301223,包装材料,BK0733
天元股份,003003,包装材料,BK0733
环球印务,002799,包装材料,BK0733
大胜达,603687,包装材料,BK0733
华源控股,002787,包装材料,BK0733
海顺新材,300501,包装材料,BK0733
新通联,603022,包装材料,BK0733
上海艾录,301062,包装材料,BK0733
劲嘉股份,002191,包装材料,BK0733
奥瑞金,002701,包装材料,BK0733
紫江企业,600210,包装材料,BK0733
昇兴股份,002752,包装材料,BK0733
顺灏股份,002565,包装材料,BK0733
九牧王,601566,纺织服装,BK0436
七 匹 狼,002029,纺织服装,BK0436
天创时尚,603608,纺织服装,BK0436
美邦服饰,002269,纺织服装,BK0436
凤竹纺织,600493,纺织服装,BK0436
奥康国际,603001,纺织服装,BK0436
森马服饰,002563,纺织服装,BK0436
海澜之家,600398,纺织服装,BK0436
万里马,300591,纺织服装,BK0436
孚日股份,002083,纺织服装,BK0436
朗姿股份,002612,纺织服装,BK0436
众望布艺,605003,纺织服装,BK0436
金鹰股份,600232,纺织服装,BK0436
安正时尚,603839,纺织服装,BK0436
锦泓集团,603518,纺织服装,BK0436
龙头股份,600630,纺织服装,BK0436
际华集团,601718,纺织服装,BK0436
联发股份,002394,纺织服装,BK0436
*ST摩登,002656,纺织服装,BK0436
真爱美家,003041,纺织服装,BK0436
报 喜 鸟,002154,纺织服装,BK0436
红豆股份,600400,纺织服装,BK0436
鲁  泰Ａ,000726,纺织服装,BK0436
ST尔雅,600107,纺织服装,BK0436
南山智尚,300918,纺织服装,BK0436
*ST金比,002762,纺织服装,BK0436
太湖雪,920262,纺织服装,BK0436
伟星股份,002003,纺织服装,BK0436
嘉曼服饰,301276,纺织服装,BK0436
华孚时尚,002042,纺织服装,BK0436
戎美股份,301088,纺织服装,BK0436
兴业科技,002674,纺织服装,BK0436
宏达高科,002144,纺织服装,BK0436
酷特智能,300840,纺织服装,BK0436
乔治白,002687,纺织服装,BK0436
健盛集团,603558,纺织服装,BK0436
牧高笛,603908,纺织服装,BK0436
如意集团,002193,纺织服装,BK0436
日播时尚,603196,纺织服装,BK0436
浙江自然,605080,纺织服装,BK0436
富安娜,002327,纺织服装,BK0436
金春股份,300877,纺织服装,BK0436
浪莎股份,600137,纺织服装,BK0436
航民股份,600987,纺织服装,BK0436
汇洁股份,002763,纺织服装,BK0436
华生科技,605180,纺织服装,BK0436
彩蝶实业,603073,纺织服装,BK0436
聚杰微纤,300819,纺织服装,BK0436
三毛B股,900922,纺织服装,BK0436
鲁  泰Ｂ,200726,纺织服装,BK0436
华利集团,300979,纺织服装,BK0436
罗莱生活,002293,纺织服装,BK0436
太平鸟,603877,纺织服装,BK0436
洪兴股份,001209,纺织服装,BK0436
盛泰集团,605138,纺织服装,BK0436
新澳股份,603889,纺织服装,BK0436
水星家纺,603365,纺织服装,BK0436
*ST步森,002569,纺织服装,BK0436
古麒绒材,001390,纺织服装,BK0436
华升股份,600156,纺织服装,BK0436
ST雪发,002485,纺织服装,BK0436
歌力思,603808,纺织服装,BK0436
浙文影业,601599,纺织服装,BK0436
ST起步,603557,纺织服装,BK0436
嘉欣丝绸,002404,纺织服装,BK0436
华斯股份,002494,纺织服装,BK0436
物产金轮,002722,纺织服装,BK0436
扬州金泉,603307,纺织服装,BK0436
泰慕士,001234,纺织服装,BK0436
富春染织,605189,纺织服装,BK0436
棒杰股份,002634,纺织服装,BK0436
华纺股份,600448,纺织服装,BK0436
地素时尚,603587,纺织服装,BK0436
开润股份,300577,纺织服装,BK0436
探路者,300005,纺织服装,BK0436
中胤时尚,300901,纺织服装,BK0436
嘉麟杰,002486,纺织服装,BK0436
红蜻蜓,603116,纺织服装,BK0436
恒辉安防,300952,纺织服装,BK0436
比音勒芬,002832,纺织服装,BK0436
台华新材,603055,纺织服装,BK0436
上海三毛,600689,纺织服装,BK0436
哈森股份,603958,纺织服装,BK0436
爱慕股份,603511,纺织服装,BK0436
华茂股份,000850,纺织服装,BK0436
三夫户外,002780,纺织服装,BK0436
百隆东方,601339,纺织服装,BK0436
安奈儿,002875,纺织服装,BK0436
ST新华锦,600735,纺织服装,BK0436
康隆达,603665,纺织服装,BK0436
欣贺股份,003016,纺织服装,BK0436
迎丰股份,605055,纺织服装,BK0436
云中马,603130,纺织服装,BK0436
雅戈尔,600177,纺织服装,BK0436
浔兴股份,002098,纺织服装,BK0436
梦洁股份,002397,纺织服装,BK0436
万事利,301066,纺织服装,BK0436
欣龙控股,000955,纺织服装,BK0436
创源股份,300703,家用轻工,BK0440
天元宠物,301335,家用轻工,BK0440
龙竹科技,920445,家用轻工,BK0440
马可波罗,001386,家用轻工,BK0440
舒华体育,605299,家用轻工,BK0440
实丰文化,002862,家用轻工,BK0440
青岛金王,002094,家用轻工,BK0440
金陵体育,300651,家用轻工,BK0440
浙江永强,002489,家用轻工,BK0440
共创草坪,605099,家用轻工,BK0440
明月镜片,301101,家用轻工,BK0440
源飞宠物,001222,家用轻工,BK0440
乐歌股份,300729,家用轻工,BK0440
致欧科技,301376,家用轻工,BK0440
慕思股份,001323,家用轻工,BK0440
