stock_name,stock_code,board_name,board_code
平潭发展,000592,福建板块,BK0151
榕基软件,002474,福建板块,BK0151
航天发展,000547,福建板块,BK0151
华电新能,600930,福建板块,BK0151
招标股份,301136,福建板块,BK0151
鸿博股份,002229,福建板块,BK0151
雪人集团,002639,福建板块,BK0151
太阳电缆,002300,福建板块,BK0151
惠泉啤酒,600573,福建板块,BK0151
宁德时代,300750,福建板块,BK0151
中仑新材,301565,福建板块,BK0151
南威软件,603636,福建板块,BK0151
紫金矿业,601899,福建板块,BK0151
福龙马,603686,福建板块,BK0151
欣贺股份,003016,福建板块,BK0151
合力泰,002217,福建板块,BK0151
三祥新材,603663,福建板块,BK0151
光莆股份,300632,福建板块,BK0151
海通发展,603162,福建板块,BK0151
红相股份,300427,福建板块,BK0151
恒锋信息,300605,福建板块,BK0151
昇兴股份,002752,福建板块,BK0151
厦门钨业,600549,福建板块,BK0151
青山纸业,600103,福建板块,BK0151
龙洲股份,002682,福建板块,BK0151
闽东电力,000993,福建板块,BK0151
弘信电子,300657,福建板块,BK0151
科华数据,002335,福建板块,BK0151
厦门港务,000905,福建板块,BK0151
创识科技,300941,福建板块,BK0151
垒知集团,002398,福建板块,BK0151
舒华体育,605299,福建板块,BK0151
中国武夷,000797,福建板块,BK0151
龙高股份,605086,福建板块,BK0151
合兴包装,002228,福建板块,BK0151
达华智能,002512,福建板块,BK0151
冠城新材,600067,福建板块,BK0151
漳州发展,000753,福建板块,BK0151
国安达,300902,福建板块,BK0151
星云股份,300648,福建板块,BK0151
金龙汽车,600686,福建板块,BK0151
铁拓机械,920706,福建板块,BK0151
安记食品,603696,福建板块,BK0151
宸展光电,003019,福建板块,BK0151
大博医疗,002901,福建板块,BK0151
路桥信息,920748,福建板块,BK0151
永福股份,300712,福建板块,BK0151
中富通,300560,福建板块,BK0151
吉宏股份,002803,福建板块,BK0151
永安林业,000663,福建板块,BK0151
龙竹科技,920445,福建板块,BK0151
三钢闽光,002110,福建板块,BK0151
通达创智,001368,福建板块,BK0151
博思软件,300525,福建板块,BK0151
浔兴股份,002098,福建板块,BK0151
厦工股份,600815,福建板块,BK0151
思泰克,301568,福建板块,BK0151
奥佳华,002614,福建板块,BK0151
海峡环保,603817,福建板块,BK0151
狄耐克,300884,福建板块,BK0151
远翔新材,301300,福建板块,BK0151
ST易联众,300096,福建板块,BK0151
东亚机械,301028,福建板块,BK0151
*ST绿康,002868,福建板块,BK0151
火炬电子,603678,福建板块,BK0151
日上集团,002593,福建板块,BK0151
富春股份,300299,福建板块,BK0151
松霖科技,603992,福建板块,BK0151
圣农发展,002299,福建板块,BK0151
延江股份,300658,福建板块,BK0151
中闽能源,600163,福建板块,BK0151
万里石,002785,福建板块,BK0151
麦克奥迪,300341,福建板块,BK0151
龙净环保,600388,福建板块,BK0151
建发合诚,603909,福建板块,BK0151
安通控股,600179,福建板块,BK0151
坤彩科技,603826,福建板块,BK0151
厦门象屿,600057,福建板块,BK0151
慧翰股份,301600,福建板块,BK0151
鹭燕医药,002788,福建板块,BK0151
瑞尔特,002790,福建板块,BK0151
学大教育,000526,福建板块,BK0151
厦门空港,600897,福建板块,BK0151
瑞达期货,002961,福建板块,BK0151
优迅股份,688807,福建板块,BK0151
安妮股份,002235,福建板块,BK0151
厦门国贸,600755,福建板块,BK0151
卓越新能,688196,福建板块,BK0151
建霖家居,603408,福建板块,BK0151
福建金森,002679,福建板块,BK0151
兴通股份,603209,福建板块,BK0151
三棵树,603737,福建板块,BK0151
华厦眼科,301267,福建板块,BK0151
星网锐捷,002396,福建板块,BK0151
*ST海钦,600753,福建板块,BK0151
特宝生物,688278,福建板块,BK0151
金牌家居,603180,福建板块,BK0151
凤竹纺织,600493,福建板块,BK0151
锐捷网络,301165,福建板块,BK0151
赛特新材,688398,福建板块,BK0151
人民同泰,600829,黑龙江,BK0146
宝泰隆,601011,黑龙江,BK0146
中国一重,601106,黑龙江,BK0146
森鹰窗业,301227,黑龙江,BK0146
哈药股份,600664,黑龙江,BK0146
东安动力,600178,黑龙江,BK0146
新光光电,688011,黑龙江,BK0146
哈空调,600202,黑龙江,BK0146
华电能源,600726,黑龙江,BK0146
珍宝岛,603567,黑龙江,BK0146
ST信通,600289,黑龙江,BK0146
大庆华科,000985,黑龙江,BK0146
S佳通,600182,黑龙江,BK0146
葵花药业,002737,黑龙江,BK0146
敷尔佳,301371,黑龙江,BK0146
哈铁科技,688459,黑龙江,BK0146
万向德农,600371,黑龙江,BK0146
龙版传媒,605577,黑龙江,BK0146
国中水务,600187,黑龙江,BK0146
大鹏工业,920091,黑龙江,BK0146
恒丰纸业,600356,黑龙江,BK0146
威帝股份,603023,黑龙江,BK0146
天有为,603202,黑龙江,BK0146
ST京蓝,000711,黑龙江,BK0146
誉衡药业,002437,黑龙江,BK0146
龙建股份,600853,黑龙江,BK0146
龙江交通,601188,黑龙江,BK0146
九洲集团,300040,黑龙江,BK0146
佳电股份,000922,黑龙江,BK0146
哈投股份,600864,黑龙江,BK0146
