classification_type,classification_name,stock_code,stock_name,price,change_pct,industry
industry,通信应用增值服务,002123.SZ,梦网科技,12.81,2.974276527331198,通信-通信服务-通信应用增值服务
industry,通信应用增值服务,300113.SZ,顺网科技,19.3,0.15568240788791457,通信-通信服务-通信应用增值服务
industry,通信应用增值服务,300578.SZ,会畅通讯,19.8,-1.296111665004975,通信-通信服务-通信应用增值服务
industry,通信应用增值服务,300738.SZ,奥飞数据,18.12,-0.4395604395604302,通信-通信服务-通信应用增值服务
industry,通信应用增值服务,300921.SZ,南凌科技,22.79,-0.9130434782608733,通信-通信服务-通信应用增值服务
industry,通信应用增值服务,301380.SZ,挖金客,30.9,-1.9980970504281717,通信-通信服务-通信应用增值服务
industry,通信应用增值服务,603881.SH,数据港,30.16,2.0988490182803012,通信-通信服务-通信应用增值服务
industry,通信应用增值服务,300571.SZ,平治信息,26.88,-1.502381824844266,通信-通信服务-通信应用增值服务
industry,通信应用增值服务,000815.SZ,美利云,10.99,-1.16906474820143,通信-通信服务-通信应用增值服务
industry,通信应用增值服务,002467.SZ,二六三,5.86,-1.5126050420168042,通信-通信服务-通信应用增值服务
industry,通信应用增值服务,300846.SZ,首都在线,19.12,-3.6290322580645102,通信-通信服务-通信应用增值服务
industry,通信应用增值服务,301428.SZ,世纪恒通,33.03,0.06058770069676803,通信-通信服务-通信应用增值服务
industry,通信应用增值服务,301382.SZ,蜂助手,32.93,-1.7308266189197206,通信-通信服务-通信应用增值服务
industry,通信应用增值服务,300292.SZ,吴通控股,4.5,-1.9607843137254872,通信-通信服务-通信应用增值服务
industry,通信应用增值服务,000839.SZ,国安股份,2.61,-1.1363636363636458,通信-通信服务-通信应用增值服务
industry,通信应用增值服务,300081.SZ,恒信东方,5.29,-4.856115107913662,通信-通信服务-通信应用增值服务
industry,通信应用增值服务,300383.SZ,光环新网,12.32,-1.9108280254777086,通信-通信服务-通信应用增值服务
industry,通信应用增值服务,300442.SZ,润泽科技,50.43,0.5583250249252266,通信-通信服务-通信应用增值服务
industry,通信应用增值服务,300895.SZ,铜牛信息,43.4,-0.9810631987223357,通信-通信服务-通信应用增值服务
industry,通信应用增值服务,603887.SH,城地香江,13.41,-0.8869179600886861,通信-通信服务-通信应用增值服务
industry,通信应用增值服务,002148.SZ,北纬科技,8.41,-1.752336448598135,通信-通信服务-通信应用增值服务
industry,通信应用增值服务,300959.SZ,线上线下,104.7,-0.8991954566966425,通信-通信服务-通信应用增值服务
industry,通信工程及服务,002544.SZ,普天科技,31.31,-1.3858267716535473,通信-通信服务-通信工程及服务
industry,通信工程及服务,002929.SZ,润建股份,38.68,-1.1500127779197618,通信-通信服务-通信工程及服务
industry,通信工程及服务,300050.SZ,世纪鼎利,5.35,-2.193784277879344,通信-通信服务-通信工程及服务
industry,通信工程及服务,300513.SZ,恒实科技,9.8,-1.8036072144288549,通信-通信服务-通信工程及服务
industry,通信工程及服务,300560.SZ,中富通,17.04,-0.699300699300705,通信-通信服务-通信工程及服务
industry,通信工程及服务,300597.SZ,吉大通信,8.96,-1.3215859030836918,通信-通信服务-通信工程及服务
industry,通信工程及服务,301139.SZ,元道通信,18.13,-1.5743756786102208,通信-通信服务-通信工程及服务
industry,通信工程及服务,603602.SH,纵横通信,14.19,-0.7692307692307776,通信-通信服务-通信工程及服务
industry,通信工程及服务,002093.SZ,国脉科技,11.32,-1.991341991341995,通信-通信服务-通信工程及服务
industry,通信工程及服务,603206.SH,嘉环科技,16.77,-0.5338078291814938,通信-通信服务-通信工程及服务
industry,通信工程及服务,603220.SH,中贝通信,21.07,-1.5420560747663472,通信-通信服务-通信工程及服务
industry,通信工程及服务,300310.SZ,宜通世纪,5.88,-3.1301482701812255,通信-通信服务-通信工程及服务
industry,通信工程及服务,000889.SZ,中嘉博创,3.53,-4.076086956521749,通信-通信服务-通信工程及服务
industry,通信工程及服务,002115.SZ,三维通信,10.78,-9.41176470588236,通信-通信服务-通信工程及服务
industry,通信工程及服务,300603.SZ,立昂技术,9.5,-1.1446409989594115,通信-通信服务-通信工程及服务
industry,通信工程及服务,603559.SH,ST通脉,8.01,-1.3546798029556582,通信-通信服务-通信工程及服务
industry,通信工程及服务,600289.SH,ST信通,6.8,-3.2716927453769618,通信-通信服务-通信工程及服务
industry,通信工程及服务,002316.SZ,亚联发展,4.73,-3.469387755102039,通信-通信服务-通信工程及服务
industry,通信工程及服务,920924.BJ,广脉科技,21.6,-2.306648575305283,通信-通信服务-通信工程及服务
