classification_type,classification_name,stock_code,stock_name,price,change_pct,industry
region,浙江,000156.SZ,华数传媒,7.42,-0.9345794392523402,传媒-文化传媒-电视广播
region,浙江,000705.SZ,浙江震元,9.34,-0.9544008483563081,医药生物-医药商业-医药流通
region,浙江,000795.SZ,英洛华,9.77,-0.509164969450109,有色金属-金属新材料-磁性材料
region,浙江,000913.SZ,钱江摩托,15.09,-1.2434554973821959,汽车-汽车服务及其他-其他运输设备
region,浙江,001211.SZ,双枪科技,26.13,-0.3432494279176196,轻工制造-家居用品-其他家居用品
region,浙江,001222.SZ,源飞宠物,23.91,-1.927809680065623,轻工制造-家居用品-文娱用品
region,浙江,001255.SZ,博菲电气,32.13,-5.165289256198347,基础化工-塑料制品-合成树脂
region,浙江,001336.SZ,楚环科技,31.85,10.017271157167539,环保-环保设备-环保设备Ⅲ
region,浙江,002003.SZ,伟星股份,10.48,-0.8514664143803203,纺织服饰-纺织制造-辅料
region,浙江,002010.SZ,传化智联,5.83,-0.6814310051107332,交通运输-物流-物流Ⅲ
region,浙江,002012.SZ,凯恩股份,6.24,0.32154340836013606,轻工制造-造纸-造纸Ⅲ
region,浙江,002020.SZ,京新药业,20.28,-0.4906771344455244,医药生物-化学制药-化学制剂
region,浙江,002034.SZ,旺能环境,16.0,0.3134796238244559,环保-环境治理-固废治理
region,浙江,002043.SZ,兔宝宝,14.0,-0.7795889440113355,建筑材料-建筑材料-其他建材
region,浙江,002048.SZ,宁波华翔,27.62,-0.4325883201153477,汽车-汽车零部件-车身附件及饰件
region,浙江,002061.SZ,浙江交科,4.02,0.0,建筑装饰-建筑装饰-基础建设
region,浙江,002099.SZ,海翔药业,6.08,0.9966777408637957,医药生物-化学制药-原料药
region,浙江,002112.SZ,三变科技,13.61,0.9643916913946513,电力设备-电网设备-输变电设备
region,浙江,002133.SZ,广宇集团,3.42,-2.285714285714288,房地产-房地产-住宅开发
region,浙江,002135.SZ,东南网架,4.64,-0.42918454935623307,建筑装饰-建筑装饰-专业工程
region,浙江,002144.SZ,宏达高科,12.74,-0.07843137254901794,纺织服饰-纺织制造-其他纺织
region,浙江,002188.SZ,中天服务,6.54,-2.8231797919762314,房地产-房地产-房地产服务
region,浙江,002196.SZ,方正电机,12.28,-2.694136291600633,电力设备-电机-电机Ⅲ
region,浙江,002206.SZ,海利得,5.72,-0.5217391304347869,基础化工-化学纤维-涤纶
region,浙江,002224.SZ,三力士,4.41,-0.8988764044943828,基础化工-橡胶制品-其他橡胶制品
region,浙江,002247.SZ,聚力文化,2.88,-1.030927835051555,建筑材料-建筑材料-其他建材
region,浙江,002250.SZ,联化科技,12.59,3.1967213114754145,基础化工-农化制品-农药
region,浙江,002276.SZ,万马股份,15.88,-1.0591900311526474,电力设备-电网设备-线缆部件及其他
region,浙江,002326.SZ,永太科技,24.55,4.690831556503205,基础化工-化学制品-氟化工
region,浙江,002332.SZ,仙琚制药,9.05,-0.4400440044004307,医药生物-化学制药-化学制剂
region,浙江,002370.SZ,亚太药业,7.22,0.5571030640668528,医药生物-化学制药-化学制剂
region,浙江,002375.SZ,亚厦股份,3.77,-1.308900523560205,建筑装饰-建筑装饰-装饰园林
region,浙江,002381.SZ,双箭股份,6.62,0.15128593040846877,基础化工-橡胶制品-其他橡胶制品
region,浙江,002389.SZ,航天彩虹,22.47,-2.9792746113989694,国防军工-军工装备-航空装备
region,浙江,002404.SZ,嘉欣丝绸,7.07,-0.7022471910112335,纺织服饰-服装家纺-服装
region,浙江,002418.SZ,康盛股份,4.81,2.3404255319148812,家用电器-白色家电-家电零部件
region,浙江,002434.SZ,万里扬,9.21,-2.4364406779660874,汽车-汽车零部件-底盘与发动机系统
region,浙江,002440.SZ,闰土股份,7.55,-0.2642007926023839,基础化工-化学制品-纺织化学用品
region,浙江,002443.SZ,金洲管道,8.51,0.1176470588235269,钢铁-钢铁-特钢
region,浙江,002468.SZ,申通快递,14.33,-0.48611111111111305,交通运输-物流-物流Ⅲ
region,浙江,002479.SZ,富春环保,4.88,-0.6109979633401272,公用事业-电力-热力
region,浙江,002488.SZ,金固股份,8.06,-1.8270401948842916,汽车-汽车零部件-轮胎轮毂
region,浙江,002489.SZ,浙江永强,3.92,-1.5075376884422125,轻工制造-家居用品-成品家居
region,浙江,002522.SZ,浙江众成,5.61,1.08108108108109,基础化工-塑料制品-膜材料
region,浙江,002534.SZ,西子洁能,17.03,-1.9009216589861653,电力设备-其他电源设备-其他电源设备Ⅲ
region,浙江,002574.SZ,明牌珠宝,5.64,-0.5291005291005335,纺织服饰-服装家纺-饰品
region,浙江,002615.SZ,哈尔斯,7.82,-0.2551020408163211,轻工制造-家居用品-其他家居用品
region,浙江,002617.SZ,露笑科技,7.71,-1.783439490445856,公用事业-电力-新能源发电
region,浙江,002629.SZ,仁智股份,7.18,-1.373626373626381,建筑装饰-建筑装饰-基础建设
region,浙江,002633.SZ,申科股份,16.73,-1.7038777908343077,机械设备-通用设备-金属制品
region,浙江,002634.SZ,棒杰股份,5.28,-4.520795660036166,纺织服饰-服装家纺-服装
region,浙江,002641.SZ,公元股份,4.34,-0.4587155963302858,建筑材料-建筑材料-管材
region,浙江,002664.SZ,信质集团,21.91,-1.2173128944995473,汽车-汽车零部件-汽车电子电气系统
region,浙江,002677.SZ,浙江美大,8.61,3.237410071942441,家用电器-厨卫电器-厨卫电器Ⅲ
region,浙江,002686.SZ,亿利达,6.45,-0.4629629629629668,机械设备-通用设备-制冷空调设备
region,浙江,002687.SZ,乔治白,4.79,-1.6427104722792623,纺织服饰-服装家纺-服装
region,浙江,002703.SZ,浙江世宝,18.56,0.3785830178474867,汽车-汽车零部件-底盘与发动机系统
region,浙江,002712.SZ,思美传媒,5.26,-1.4981273408239715,传媒-文化传媒-广告营销
region,浙江,002718.SZ,友邦吊顶,32.67,10.000000000000007,建筑材料-建筑材料-其他建材
region,浙江,002725.SZ,跃岭股份,17.29,0.7575757575757518,汽车-汽车零部件-轮胎轮毂
region,浙江,002767.SZ,先锋电子,22.76,-0.9142359599477462,机械设备-通用设备-仪器仪表
region,浙江,002795.SZ,永和智控,6.38,-1.543209876543218,机械设备-通用设备-金属制品
region,浙江,002849.SZ,威星智能,15.33,1.3888888888888946,机械设备-通用设备-仪器仪表
region,浙江,002859.SZ,洁美科技,28.5,0.42283298097251937,电子-其他电子-其他电子Ⅲ
region,浙江,002860.SZ,星帅尔,13.31,-1.7712177121771233,家用电器-白色家电-家电零部件
region,浙江,002863.SZ,今飞凯达,5.73,-0.8650519031141838,汽车-汽车零部件-轮胎轮毂
region,浙江,002931.SZ,锋龙股份,,,机械设备-通用设备-金属制品
region,浙江,002942.SZ,新农股份,20.09,0.14955134596211933,基础化工-农化制品-农药
region,浙江,003011.SZ,海象新材,22.22,1.3686131386861182,轻工制造-家居用品-瓷砖地板
region,浙江,003017.SZ,大洋生物,29.68,0.3380662609871583,基础化工-化学原料-无机盐
region,浙江,003025.SZ,思进智能,13.84,0.8011653313911102,机械设备-通用设备-机床工具
region,浙江,003026.SZ,中晶科技,30.41,-1.0091145833333293,电子-半导体-半导体材料
region,浙江,003030.SZ,祖名股份,20.54,-2.930056710775052,农林牧渔-农产品加工-其他农产品加工
